"Date","Video Views","Profile Views","Likes","Comments","Shares"
"October 8","511","2","53","0","2"
"October 9","529","5","52","-2","0"
"October 10","618","1","50","0","1"
"October 11","1412","5","86","1","2"
"October 12","3470","1","99","-1","0"
"October 13","579","3","40","-1","2"
"October 14","509","0","53","0","9"
"October 15","457","4","45","-5","0"
"October 16","403","0","41","0","5"
"October 17","403","0","26","1","3"
"October 18","591","1","48","2","1"
"October 19","404","1","44","0","0"
"October 20","262","1","19","-3","1"
"October 21","330","0","29","0","1"
"October 22","542","2","59","0","0"
"October 23","700","1","70","-26","2"
"October 24","653","3","64","0","4"
"October 25","710","2","77","1","2"
"October 26","546","2","49","-1","1"
"October 27","416","4","30","-37","3"
"October 28","351","1","32","-1","2"
"October 29","417","0","51","-1","2"
"October 30","407","4","43","-4","0"
"October 31","351","0","37","0","0"
"November 1","462","2","46","0","3"
"November 2","454","3","47","0","3"
"November 3","318","1","35","0","0"
"November 4","356","3","35","1","1"
"November 5","393","1","39","-1","2"
"November 6","453","0","63","1","2"
"November 7","564","2","54","1","2"
"November 8","780","4","100","0","3"
"November 9","636","2","71","0","2"
"November 10","348","2","31","-1","2"
"November 11","410","2","39","0","3"
"November 12","393","4","34","-1","4"
"November 13","439","0","49","1","0"
"November 14","497","1","51","5","1"
"November 15","1041","3","69","1","3"
"November 16","679","0","61","0","2"
"November 17","496","3","49","1","0"
"November 18","786","1","82","1","4"
"November 19","868","4","102","0","1"
"November 20","806","2","99","2","3"
"November 21","888","2","103","3","2"
"November 22","1195","7","132","0","2"
"November 23","673","1","84","1","1"
"November 24","619","4","84","1","2"
"November 25","600","4","83","-1","0"
"November 26","622","4","63","-4","2"
"November 27","519","1","72","-8","0"
"November 28","436","1","54","0","2"
"November 29","471","2","44","-3","1"
"November 30","386","2","41","1","2"
"December 1","298","0","39","-2","5"
"December 2","400","3","35","4","1"
"December 3","515","0","67","-2","1"
"December 4","761","4","93","-4","7"
"December 5","568","4","74","-4","6"
"December 6","712","7","84","0","3"
"December 7","574","1","65","-4","7"
"December 8","428","2","51","-15","3"
"December 9","417","2","47","-9","2"
"December 10","494","2","64","1","1"
"December 11","357","4","41","-8","7"
"December 12","459","2","51","-19","2"
"December 13","512","3","59","-6","5"
"December 14","428","3","42","0","5"
"December 15","258","5","42","-3","3"
"December 16","275","2","25","-7","3"
"December 17","368","1","43","0","0"
"December 18","332","0","30","-1","1"
"December 19","375","1","34","-8","0"
"December 20","391","2","31","2","4"
"December 21","516","2","49","-3","1"
"December 22","369","2","29","0","6"
"December 23","419","2","43","1","1"
"December 24","263","0","23","-3","0"
"December 25","206","3","20","-1","1"
"December 26","172","1","6","-3","0"
"December 27","151","2","8","-1","0"
"December 28","169","0","10","-1","0"
"December 29","174","1","19","0","0"
"December 30","165","0","10","0","0"
"December 31","152","2","10","0","2"
"January 1","128","2","16","-1","1"
"January 2","176","1","17","-1","1"
"January 3","163","3","17","0","0"
"January 4","177","2","13","0","0"
"January 5","146","1","9","0","2"
"January 6","207","1","21","0","2"
"January 7","213","1","19","0","0"
"January 8","186","0","11","-1","0"
"January 9","179","2","11","0","0"
"January 10","253","0","19","0","1"
"January 11","227","2","17","-1","1"
"January 12","168","2","11","0","0"
"January 13","169","1","14","1","0"
"January 14","180","1","15","0","0"
"January 15","187","0","17","-1","3"
"January 16","251","1","32","1","0"
"January 17","274","1","16","-1","0"
"January 18","222","0","19","0","4"
"January 19","152","1","8","-1","0"
"January 20","127","2","16","1","4"
"January 21","161","1","13","0","0"
"January 22","205","1","21","0","1"
"January 23","278","1","27","0","2"
"January 24","400","2","51","-2","1"
"January 25","286","1","24","-1","2"
"January 26","287","1","34","0","5"
"January 27","232","1","25","0","2"
"January 28","214","3","20","0","0"
"January 29","240","0","19","0","0"
"January 30","330","2","35","-5","1"
"January 31","384","1","24","-1","11"
"February 1","310","0","20","-7","2"
"February 2","239","0","16","-10","0"
"February 3","224","2","25","-6","0"
"February 4","258","0","23","-3","0"
"February 5","315","1","20","0","0"
"February 6","312","0","26","1","0"
"February 7","491","0","50","0","3"
"February 8","362","1","29","1","0"
"February 9","173","0","10","-2","0"
"February 10","163","1","19","-2","1"
"February 11","273","0","33","-2","3"
"February 12","330","2","32","1","0"
"February 13","473","2","48","-2","0"
"February 14","497","3","46","1","3"
"February 15","284","0","31","0","0"
"February 16","203","1","14","0","0"
"February 17","229","0","20","-4","1"
"February 18","258","1","26","-2","1"
"February 19","272","1","27","0","0"
"February 20","281","1","34","0","0"
"February 21","455","1","46","-3","3"
"February 22","348","1","30","0","1"
"February 23","199","5","17","0","2"
"February 24","216","0","23","-2","0"
"February 25","245","2","30","-2","2"
"February 26","513","4","62","-3","1"
"February 27","462","5","50","0","1"
"February 28","580","2","48","-1","4"
"March 1","400","2","53","-1","8"
"March 2","253","0","31","0","1"
"March 3","253","3","24","-1","1"
"March 4","292","4","31","-1","0"
"March 5","277","0","25","-9","0"
"March 6","322","3","32","-1","2"
"March 7","547","3","47","5","2"
"March 8","449","3","46","2","4"
"March 9","313","1","38","-1","2"
"March 10","313","0","45","-4","3"
"March 11","255","1","29","0","2"
"March 12","376","0","25","-8","1"
"March 13","346","3","46","-2","2"
"March 14","400","2","48","0","2"
